Name,Type,Distance,PA,Inclination,MH2,veldisp_co,Notes,Reference,LogMstar,eLogMstar,LogSFR,eLogSFR,z0MGS,Re_K_2mass,2MASS,log Mu_star,Beam,Beam,Massfrom,sigma_stars
NGC3368,Spiral,18,165,60,1.06E+09,0,Rough estimates,--,10.67,0.1,-0.29,0.2,1,36.58,1,8.86531722,0.20495622,17.85578591,z0MGS,102
NGC3607,ETG,22.2,303.4,65,1.20E+09,0,Rough estimates messy/warped,--,11.342,0.1,-1.09,0.2,1,21.9,1,9.800755454,0.549399536,59.03188132,A3D,206.53
NGC3862,ETG,92.5,20.6,70,1.80E+09,0,Rough estimates promising,--,11.68,0.1,0,0,0,11.12,1,9.487856593,0.606204221,271.3976296,MASSIVE,260
NGC4061,ETG,94.1,174.9,55,2.70E+09,0,Rough estimates promising,--,11.64,0.17,-0.71,0.2,1,8.1,1,9.708200348,0.13,59.20772,MASSIVE,NaN
NGC4261,,,,,0.00E+00,,,,,,,,,,,,,,,NaN
NGC4429,ETG,16.5,93.2,66.8,1.00E+08,2.2,--,Davis+2018,11.167,0.1,-1.613040303,0.2,1,48.84,1,9.186830434,0.15983915,12.76475456,A3D,177
NGC4435,ETG,16.5,194,70,4.30E+08,0,Rough estimates promising,--,10.688,0.1,-1.230661821,0.2,1,28.49,1,9.175996846,0.23865339,19.05885973,A3D,152.7566058
NGC4438,Spiral,16.5,30,60,3.60E+09,0,Rough estimates very messy,--,10.75,0.1,-0.3,0.2,1,23.19,1,9.416780247,0.564731379,45.09944795,z0MGS,142
NGC4501,Spiral,15.3,135,58.7,3.57E+09,0,Rough estimates,--,11,0.1,0.43,0.2,1,57.66,1,8.941217495,0.629066412,42.62554007,z0MGS,102
NGC4697,ETG,11.4,246.2,76.1,1.60E+07,0.82,--,Davis+2017,11.068,0.1,-2.72,0.5,1,39.51,1,9.593125871,0.552686407,30.49502521,A3D,169
NGC4826,Spiral,7.36,100,59.5326,405258700,13.574,PA warp,--,10.2,0.1,-0.71,0.2,1,69.27,1,8.617503629,0.183622596,6.541077573,z0MGS,90
NGC5064,Spiral,34,36,70,8.00E+09,0,Rough estimate,--,10.93,0.1,0.11,0.2,1,18.05,1,9.186437386,0.06,9.8736,z0MGS,210
NGC5765b,Spiral,114,120,42.4,1.20E+10,0,Rough estimates,--,11.32,0.2,1.434,0.3,0,6.48,1,9.304389919,0.323315985,178.3928278,,NaN
NGC5806,Spiral,21.4,170,60,934042849.3,0,Rough estimates,--,10.57,0.1,-0.03,0.2,1,29.69,1,8.796301691,0.29943241,31.01401131,z0MGS,110
NGC5995,,,,,0.00E+00,,,,,,,,,,,,,,,NaN
NGC6753,Spiral,42,30,31,4.13E+09,0,Rough estimates,--,10.78,0.1,0.32,0.2,1,19.62,1,8.780453046,0.13972565,28.40343012,z0MGS,214
NGC6958,ETG,35.4,109.4,45,4.59E+08,0,Rough estimates,Thater+ in prep,10.76,0.11,-0.58,0.2,1,11.81,1,9.349843314,0.128049147,18.96459082,z0MGS,168
NGC7052,ETG,51.55,64.3,74.8,1.80E+09,23.9,--,Smith+2020,11.75,0.1,-0.07,0.2,1,14.7,1,9.823257624,0.128525158,32.06728404,MASSIVE,266
NGC7172,ETG,33.9,276,88,6.00E+09,0,Rough estimates promising,--,10.76,0.1,0.38,0.2,1,19.03,1,8.97307266,0.135373557,22.21155178,z0MGS,180
PGC043387,ETG,95.8,329.1,70,2.80E+09,0,Rough estimates promising,--,11.12,0.2,0,0,0,6.04,1,9.427544738,0.628075119,291.2208464,MK,NaN
